country,life_exp,gdp
Afghanistan,65.617,1357.9878
Albania,78.7688,12978.101
Algeria,76.1289,13506.444
Angola,64.2455,6118.905
Argentina,75.8061,18292.318
Armenia,74.6333,13837.577
Australia,82.7662,52049.43
Austria,81.2959,43792.855
Azerbaijan,74.125,17682.94
Bahrain,80.9921,38651.6
Bangladesh,74.2647,4925.721
Barbados,75.6761,11545.848
Belarus,74.3612,18699.799
Belgium,81.1589,41872.395
Benin,60.4751,2477.0903
Bolivia,67.4342,6481.3906
Bosnia and Herzegovina,76.7772,12142.863
Botswana,68.7487,16351.91
Brazil,74.8719,14640.076
Bulgaria,74.0342,20592.455
Burkina Faso,60.7,1704.966
Burundi,62.8819,717.22845
Cambodia,70.528,3944.2468
Cameroon,62.4428,2812.2148
Canada,81.2493,45529.645
Cape Verde,75.9068,7202.767
Central African Republic,18.8177,596.393
Chad,54.5275,1393.5635
Chile,79.1762,22740.72
China,78.2021,19238.18
Colombia,76.5081,14468.964
Comoros,66.4806,1900.3983
Congo,65.0003,4187.507
Costa Rica,79.3164,15496.82
Cote d'Ivoire,61.5622,4011.7122
Croatia,78.2779,26986.752
Cuba,77.6291,7648.704
Cyprus,80.4337,31523.498
Czechia,79.1648,32247.395
Democratic Republic of Congo,60.9789,844.172
Denmark,81.2906,50689.68
Djibouti,65.5402,3623.0603
Dominica,71.0806,8879.6455
Dominican Republic,74.2108,17713.52
Ecuador,76.5767,10124.076
Egypt,71.0097,13205.406
El Salvador,71.9695,9218.905
Equatorial Guinea,63.3545,22707.22
Estonia,78.1674,30067.395
Eswatini,63.0283,8522.45
Ethiopia,66.8971,2289.409
Finland,81.2435,40701.465
France,82.4753,39065.71
Gabon,67.713,15720.901
Gambia,64.859,2010.5322
Georgia,74.1409,14360.359
Germany,80.5796,46647.793
Ghana,65.246,4242.4106
Greece,79.9441,25283.906
Guatemala,71.2064,7969.431
Guinea,60.4316,1809.2666
Guinea-Bissau,63.6045,1625.3876
Haiti,63.9483,1546.4222
Honduras,72.7151,5186.5303
Hong Kong,83.4853,48289.383
Hungary,76.2118,29451.855
Iceland,81.5877,42145.594
India,71.6984,7765.593
Indonesia,70.9246,12801.671
Iran,76.7993,18473.066
Iraq,72.0371,13071.94
Ireland,82.0505,60257.082
Israel,82.8145,36648.918
Italy,82.052,36224.293
Jamaica,71.4809,7481.6685
Japan,84.0541,38268.79
Jordan,77.088,9151.479
Kazakhstan,73.5028,26491.857
Kenya,63.5491,3403.9238
Kuwait,78.7881,71533.516
Kyrgyzstan,71.487,5304.841
Laos,68.7152,7168.1904
Latvia,74.8706,27220.303
Lebanon,78.0029,10341.159
Lesotho,56.8119,2312.9583
Liberia,61.9342,811.2146
Libya,74.4615,12755.204
Lithuania,74.696,30863.32
Luxembourg,82.2007,55484.777
Madagascar,63.0677,1367.0938
Malawi,66.037,1190.0509
Malaysia,75.4442,26628.707
Mali,60.0347,1651.9413
Malta,82.2496,34496.34
Mauritania,68.2807,3680.3662
Mauritius,73.5445,20643.094
Mexico,73.9731,16235.455
Moldova,71.5465,6674.871
Mongolia,71.5049,13442.906
Montenegro,75.9214,20941.805
Morocco,75.1614,8400.127
Mozambique,63.0115,1087.836
Myanmar,66.5058,5177.4326
Namibia,64.1903,7979.328
Nepal,70.0869,3013.5178
Netherlands,81.9121,49669.867
New Zealand,81.0061,38250.12
Nicaragua,74.4626,5092.8413
Niger,60.3981,1007.72095
Nigeria,54.079,5070.4927
North Korea,73.6411,1568.847
North Macedonia,76.6455,14050.995
Norway,82.6309,88366.22
Oman,77.9106,47988.65
Pakistan,67.4167,5531.723
Palestine,76.6624,4775.202
Panama,79.3241,23557.02
Paraguay,72.3185,8762.771
Peru,76.834,12762.967
Philippines,69.4723,8370.666
Poland,77.9229,32468.402
Portugal,81.1936,28992.059
Puerto Rico,79.4269,35280.668
Qatar,81.8566,149171.11
Romania,75.2614,26197.904
Russia,72.5174,25437.107
Rwanda,67.528,2198.0662
Saint Lucia,72.6699,10452.165
Sao Tome and Principe,69.2368,3751.6428
Saudi Arabia,77.3098,53516.91
Senegal,67.7884,2660.6816
Serbia,75.4778,17097.686
Seychelles,71.2481,31055.39
Sierra Leone,61.2748,1690.4982
Singapore,82.9211,80320.086
Slovakia,77.0356,27519.287
Slovenia,80.7933,32673.762
South Africa,65.4536,11415.887
South Korea,82.727,41320.9
Spain,82.3661,34123.387
Sri Lanka,77.2996,10705.481
Sweden,83.046,47126.13
Switzerland,83.2003,63323.254
Syria,72.7898,2494.7612
Taiwan,80.1569,53142.984
Tajikistan,71.5624,5507.5454
Tanzania,66.8786,3057.3286
Thailand,75.2913,16421.072
Togo,62.2898,1586.5889
Trinidad and Tobago,73.3308,25773.006
Tunisia,76.0505,10913.846
Turkey,77.5913,27361.988
Turkmenistan,69.9133,17234.555
Uganda,67.6747,2122.0278
Ukraine,72.6582,7749.0996
United Arab Emirates,80.4868,77203.67
United Kingdom,81.0744,38406.53
United States,77.9789,58487.465
Uruguay,76.4682,20181.94
Uzbekistan,72.1465,12559.401
Venezuela,72.5656,5267.1753
Vietnam,74.5025,8050.359
Yemen,67.9517,1959.3195
Zambia,65.2791,3342.4214
Zimbabwe,62.3601,1703.5294